"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"STAR-I","iStar Inc.","24.259","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/star-i",
"ITCB","Ita? CorpBanca","14.72","$5.03B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/itcb",
"ITUB","Itau Unibanco Banco Holding SA","10.55","$68.32B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itub",
"ITT","ITT Inc.","61","$5.34B","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/itt",
"IVH","Ivy High Income Opportunities Fund","14.12","$233.97M","2013","n/a","n/a","https://www.nasdaq.com/symbol/ivh",
"JPM","J P Morgan Chase & Co","116.39","$391.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm",
"JPM.WS","J P Morgan Chase & Co","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jpm.ws",
"JPM-A","J P Morgan Chase & Co","24.87","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm-a",
"JPM-B","J P Morgan Chase & Co","25.66","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jpm-b",
"JPM-E","J P Morgan Chase & Co","25.73","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jpm-e",
"JPM-F","J P Morgan Chase & Co","25.74","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jpm-f",
"JPM-G","J P Morgan Chase & Co","25.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jpm-g",
"JPM-H","J P Morgan Chase & Co","25.78","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm-h",
"JAX","J. Alexander&#39;s Holdings, Inc.","12.9","$189.57M","2015","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/jax",
"JILL","J. Jill, Inc.","5.95","$260.3M","2017","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/jill",
"JCP","J.C. Penney Company, Inc. Holding Company","1.91","$601.45M","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/jcp",
"SJM","J.M. Smucker Company (The)","108.37","$12.33B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/sjm",
"JBL","Jabil Inc.","27.9","$4.7B","1993","Technology","Electrical Products","https://www.nasdaq.com/symbol/jbl",
"JEC","Jacobs Engineering Group Inc.","77.4","$10.98B","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/jec",
"JAG","Jagged Peak Energy Inc.","14.06","$3B","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/jag",
"JHX","James Hardie Industries plc.","15.3","$6.76B","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/jhx",
"JHG","Janus Henderson Group plc","27.4","$5.37B","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/jhg",
"JOF","Japan Smaller Capitalization Fund Inc","10.94","$309.97M","1990","n/a","n/a","https://www.nasdaq.com/symbol/jof",
"JBGS","JBG SMITH Properties","36.94","$4.44B","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/jbgs",
"JEF","Jefferies Financial Group Inc.","22.69","$7.56B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/jef",
"JELD","JELD-WEN Holding, Inc.","24.97","$2.62B","2017","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/jeld",
"JCAP","Jernigan Capital, Inc.","19.08","$369.48M","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/jcap",
"JCAP-B","Jernigan Capital, Inc.","24.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jcap-b",
"JT","Jianpu Technology Inc.","5","$840.13M","2017","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jt",
"JKS","JinkoSolar Holding Company Limited","11.77","$460.38M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/jks",
"JMP","JMP Group LLC","5.29","$113.48M","2007","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmp",
"JMPB","JMP Group LLC","25.724","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpb",
"JMPD","JMP Group LLC","25.3348","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpd",
"JBT","John Bean Technologies Corporation","120.6","$3.81B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/jbt",
"BTO","John Hancock Financial Opportunities Fund","37.59","$700.52M","1994","n/a","n/a","https://www.nasdaq.com/symbol/bto",
"HEQ","John Hancock Hedged Equity & Income Fund","15.67","$191.25M","2011","n/a","n/a","https://www.nasdaq.com/symbol/heq",
"JHS","John Hancock Income Securities Trust","13.335","$155.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jhs",
"JHI","John Hancock Investors Trust","16.11","$140.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jhi",
"HPF","John Hancock Pfd Income Fund II","21.34","$453.85M","2002","n/a","n/a","https://www.nasdaq.com/symbol/hpf",
"HPI","John Hancock Preferred Income Fund","21.8371","$567.84M","2002","n/a","n/a","https://www.nasdaq.com/symbol/hpi",
"HPS","John Hancock Preferred Income Fund III","18.54","$585.44M","2003","n/a","n/a","https://www.nasdaq.com/symbol/hps",
"PDT","John Hancock Premium Dividend Fund","16.1","$779.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdt",
"HTD","John Hancock Tax Advantaged Dividend Income Fund","22.7","$803.24M","2004","n/a","n/a","https://www.nasdaq.com/symbol/htd",
"HTY","John Hancock Tax-Advantaged Global Shareholder Yield Fund","7.42","$81.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hty",
"JW.A","John Wiley & Sons, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jw.a",
"JW.B","John Wiley & Sons, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jw.b",
"JNJ","Johnson & Johnson","138.64","$371.94B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/jnj",
"JCI","Johnson Controls International plc","35.78","$33.09B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/jci",
"JONE","Jones Energy, Inc.","6.99","$35.95M","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/jone",
"JLL","Jones Lang LaSalle Incorporated","142.61","$6.49B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/jll",
"JMEI","Jumei International Holding Limited","2.17","$325.25M","2014","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/jmei",
"JNPR","Juniper Networks, Inc.","29.79","$10.27B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/jnpr",
"JP","Jupai Holdings Limited","8.26","$272.78M","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/jp",
"JE","Just Energy Group, Inc.","3.07","$458.2M","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/je",
"JE-A","Just Energy Group, Inc.","21.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/je-a",
"LRN","K12 Inc","17.92","$709.15M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/lrn",
"KAI","Kadant Inc","107.1","$1.19B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kai",
"KDMN","Kadmon Holdings, Inc.","3.63","$410.56M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kdmn",
"KAMN","Kaman Corporation","67.06","$1.88B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/kamn",
"KSU","Kansas City Southern","114.89","$11.74B","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu",
"KSU-","Kansas City Southern","26.2897","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu-",
"KS","KapStone Paper and Packaging Corporation","34.01","$3.33B","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ks",
"KAR","KAR Auction Services, Inc","60.81","$8.17B","2009","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kar",
"KMF","Kayne Anderson Midstream Energy Fund, Inc","12.75","$280.94M","2010","n/a","n/a","https://www.nasdaq.com/symbol/kmf",
"KYN","Kayne Anderson MLP/Midstream Investment Company","17.58","$2.03B","2004","n/a","n/a","https://www.nasdaq.com/symbol/kyn",
"KYN-F","Kayne Anderson MLP/Midstream Investment Company","25.0897","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kyn-f",
"KB","KB Financial Group Inc","47.22","$18.71B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/kb",
"KBH","KB Home","25.29","$2.22B","1986","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/kbh",
"KBR","KBR, Inc.","20.83","$2.93B","2006","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/kbr",
"KAP","KCAP Financial, Inc.","25.4121","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kap",
"FRAC","Keane Group, Inc.","12.86","$1.41B","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/frac",
"K","Kellogg Company","72.1","$25B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/k",
"KEM","Kemet Corporation","19.61","$1.12B","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/kem",
"KMPA","Kemper Corporation","25.57","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","80","$5.18B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpr",
"KMT","Kennametal Inc.","44.89","$3.68B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kmt",
"KW","Kennedy-Wilson Holdings Inc.","21.65","$3.12B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/kw",
"KEN","Kenon Holdings Ltd.","18.15","$976.96M","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ken",
"KDP","Keurig Dr Pepper Inc.","23.53","$32.68B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/kdp",
"KEG","Key Energy Services, Inc.","12.51","$253.26M","2016","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/keg",
"KEY","KeyCorp","20.55","$21.62B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/key",
"KEY-I","KeyCorp","26.775","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/key-i",
"KEY-J","KeyCorp","24.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/key-j",
"KEYS","Keysight Technologies Inc.","65.51","$12.28B","2014","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/keys",
"KRC","Kilroy Realty Corporation","69.86","$7.03B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krc",
"KRP","Kimbell Royalty Partners","22.14","$594.23M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/krp",
"KMB","Kimberly-Clark Corporation","112.51","$39.12B","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/kmb",
"KIM","Kimco Realty Corporation","16.59","$6.99B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kim",
"KIM-I","Kimco Realty Corporation","25.22","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim-i",
"KIM-J","Kimco Realty Corporation","24.19","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim-j",
"KIM-K","Kimco Realty Corporation","24.34","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim-k",
"KIM-L","Kimco Realty Corporation","22.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim-l",
"KIM-M","Kimco Realty Corporation","22.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim-m",
"KMI","Kinder Morgan, Inc.","17.88","$39.46B","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/kmi",
"KMI-A","Kinder Morgan, Inc.","33.65","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kmi-a",
"KFS","Kingsway Financial Services, Inc.","2.95","$69.8M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",
"KGC","Kinross Gold Corporation","2.97","$3.71B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kgc",
"KEX","Kirby Corporation","80.55","$4.82B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/kex",
"KL","Kirkland Lake Gold Ltd.","19.42","$4.08B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kl",
"KRG","Kite Realty Group Trust","16.43","$1.37B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krg",
"KKR","KKR & Co. Inc.","28.12","$23.31B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",
"KKR-A","KKR & Co. Inc.","26.44","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr-a",
"KKR-B","KKR & Co. Inc.","26.23","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr-b",
"KIO","KKR Income Opportunities Fund","16.6","$337.65M","2013","n/a","n/a","https://www.nasdaq.com/symbol/kio",
"KREF","KKR Real Estate Finance Trust Inc.","20.27","$1.18B","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kref",
"KMG","KMG Chemicals, Inc.","75.75","$1.17B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kmg",
"KNX","Knight Transportation, Inc.","34.91","$6.22B","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/knx",
"KNL","Knoll, Inc.","24.12","$1.19B","2004","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/knl",
"KNOP","KNOT Offshore Partners LP","21.4","$699.65M","2013","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/knop",
"KN","Knowles Corporation","16.42","$1.48B","2014","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/kn",
"KSS","Kohl&#39;s Corporation","74.41","$12.41B","1992","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/kss",
"PHG","Koninklijke Philips N.V.","46.32","$43.15B","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/phg",
"KOP","Koppers Holdings Inc.","32.55","$689.31M","2006","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/kop",
"KEP","Korea Electric Power Corporation","12.66","$16.25B","1994","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/kep",
"KF","Korea Fund, Inc. (The)","36.82","$206.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kf",
"KFY","Korn/Ferry International","49.08","$2.79B","1999","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/kfy",
"KOS","Kosmos Energy Ltd.","9.65","$4.18B","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/kos",
"KRA","Kraton Corporation","48.53","$1.55B","2009","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kra",
"KR","Kroger Company (The)","29.26","$23.31B","n/a","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/kr",
"KRO","Kronos Worldwide Inc","16.64","$1.93B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kro",
"KT","KT Corporation","14.56","$7.11B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/kt",
"LB","L Brands, Inc.","29.66","$8.16B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/lb",
"SCX","L.S. Starrett Company (The)","6.35","$44.6M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/scx",
"LLL","L3 Technologies, Inc.","212.37","$16.63B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/lll",
"LH","Laboratory Corporation of America Holdings","170.54","$17.38B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/lh",
"LADR","Ladder Capital Corp","16.89","$1.88B","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ladr",
"LW","Lamb Weston Holdings, Inc.","67.1","$9.83B","2016","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/lw",
"LCI","Lannett Co Inc","4.85","$188.67M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/lci",
"LPI","Laredo Petroleum, Inc.","8.78","$2.06B","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lpi",
"LVS","Las Vegas Sands Corp.","60.66","$47.8B","2004","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/lvs",
"LHO","LaSalle Hotel Properties","34.39","$3.8B","1998","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lho",
"LHO-I","LaSalle Hotel Properties","24.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lho-i",
"LHO-J","LaSalle Hotel Properties","24.6","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lho-j",
"LTM","LATAM Airlines Group S.A.","9.48","$5.75B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ltm",
"LDF","Latin American Discovery Fund, Inc. (The)","10.93","$71.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ldf",
"LGI","Lazard Global Total Return and Income Fund","17.79","$170.88M","2004","n/a","n/a","https://www.nasdaq.com/symbol/lgi",
"LAZ","Lazard Ltd.","48.66","$5.83B","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",
"LOR","Lazard World Dividend & Income Fund, Inc.","10.44","$71.83M","2005","n/a","n/a","https://www.nasdaq.com/symbol/lor",
"LZB","La-Z-Boy Incorporated","31.9","$1.49B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/lzb",
"LCII","LCI Industries ","88.5","$2.23B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lcii",
"LEAF","Leaf Group Ltd.","9.65","$241.51M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/leaf",
"LEA","Lear Corporation","146.69","$9.61B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lea",
"LEE","Lee Enterprises, Incorporated","2.75","$156.97M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/lee",
"LGC","Legacy Acquisition Corp.","9.69","$84.58M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lgc",
"LGC.U","Legacy Acquisition Corp.","n/a","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/lgc.u",
"LGC.WS","Legacy Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lgc.ws",
"LM","Legg Mason, Inc.","31.17","$2.66B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/lm",
"LMHA","Legg Mason, Inc.","25.91","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmha",
"LMHB","Legg Mason, Inc.","24.06","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmhb",
"LEG","Leggett & Platt, Incorporated","44.57","$5.8B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/leg",
"JBK","Lehman ABS Corporation","25.9848","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jbk",
"KTH","Lehman ABS Corporation","31.8","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/kth",
"KTN","Lehman ABS Corporation","30.2","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktn",
"KTP","Lehman ABS Corporation","9.73","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktp",
"LDOS","Leidos Holdings, Inc.","68.84","$10.36B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ldos",
"LEJU","Leju Holdings Limited","1.9","$257.95M","2014","Finance","Real Estate","https://www.nasdaq.com/symbol/leju",
"LC","LendingClub Corporation","3.67","$1.55B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",
"LEN","Lennar Corporation","48.87","$16.1B","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/len",
"LEN.B","Lennar Corporation","n/a","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/len.b",
"LII","Lennox International, Inc.","216.06","$8.7B","1999","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lii",
"LHC","Leo Holdings Corp.","9.701","$242.53M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/lhc",
"LHC.U","Leo Holdings Corp.","n/a","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/lhc.u",
"LHC.WS","Leo Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lhc.ws",
"LXP","Lexington Realty Trust","8.11","$1.95B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lxp",
"LXP-C","Lexington Realty Trust","49.97","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lxp-c",
"LPL","LG Display Co., Ltd.","8.61","$6.16B","2004","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lpl",
"USA","Liberty All-Star Equity Fund","6.8","$1.34B","1986","n/a","n/a","https://www.nasdaq.com/symbol/usa",
"ASG","Liberty All-Star Growth Fund, Inc.","6.31","$173.16M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/asg",
"LBRT","Liberty Oilfield Services Inc.","21.68","$2.56B","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/lbrt",
"LPT","Liberty Property Trust","42.36","$6.26B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lpt",
"LSI","Life Storage, Inc.","95.56","$4.45B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lsi",
"LITB","LightInTheBox Holding Co., Ltd.","0.9046","$122.67M","2013","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/litb",
"LNC","Lincoln National Corporation","68.63","$14.87B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/lnc",
"LNC.WS","Lincoln National Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lnc.ws",
"LNN","Lindsay Corporation","98.45","$1.06B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lnn",
"LN","LINE Corporation","43.19","$10.37B","2016","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ln",
"LKM","Link Motion Inc.","0.6498","$63.67M","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/lkm",
"LGF.A","Lions Gate Entertainment Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lgf.a",
"LGF.B","Lions Gate Entertainment Corporation","n/a","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/lgf.b",
"LAD","Lithia Motors, Inc.","83.29","$2.02B","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/lad",
"LAC","Lithium Americas Corp.","4.75","$420.81M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/lac",
"LYV","Live Nation Entertainment, Inc.","53.67","$11.22B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/lyv",
"LYG","Lloyds Banking Group Plc","3.19","$56.73B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/lyg",
"SCD","LMP Capital and Income Fund Inc.","13.9","$249.97M","2004","n/a","n/a","https://www.nasdaq.com/symbol/scd",
"LMT","Lockheed Martin Corporation","343.54","$97.83B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/lmt",
"L","Loews Corporation","50.74","$16.03B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/l",
"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima","9.4","$1.12B","2017","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/loma",
"LPX","Louisiana-Pacific Corporation","27.38","$3.91B","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/lpx",
"LOW","Lowe&#39;s Companies, Inc.","115.2","$93.11B","n/a","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/low",
"LXU","Lsb Industries Inc.","9.78","$279.84M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxu",
"LKSD","LSC Communications, Inc.","11.72","$391.11M","2016","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/lksd",
"LTC","LTC Properties, Inc.","43.48","$1.72B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ltc",
"LUB","Luby&#39;s, Inc.","1.715","$50.6M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/lub",
"LL","Lumber Liquidators Holdings, Inc","16.96","$484.86M","2007","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/ll",
"LXFR","Luxfer Holdings PLC","23.35","$618.88M","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxfr",
"LXFT","Luxoft Holding, Inc.","48.2","$1.62B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/lxft",
"LDL","Lydall, Inc.","41.7","$724.74M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ldl",
"WLH","Lyon William Homes","17","$645.61M","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/wlh",
"LYB","LyondellBasell Industries NV","104.8","$40.8B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lyb",
"MTB","M&T Bank Corporation","168.59","$24.24B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mtb",
"MTB.WS","M&T Bank Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb.ws",
"MTB-","M&T Bank Corporation","1020","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb-",
"MTB-C","M&T Bank Corporation","1014.11","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb-c",
"MDC","M.D.C. Holdings, Inc.","30.39","$1.72B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","25.08","$716.56M","1993","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mho",
"MAC","Macerich Company (The)","55.43","$7.82B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","19.88","$1.8B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cli",
"MFD","Macquarie First Trust Global","10.8","$92.31M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mfd",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","21.35","$266.2M","2005","n/a","n/a","https://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Corporation ","46.28","$3.95B","2004","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mic",
